id,date,abstract
10.1103/PhysRevA.77.012114,2008-01-29,A quantum holonomy reflects the curvature of some underlying structure of quantum mechanical systems such as that associated with quantum states Here we extend the notion of holonomy to families of quantum channels i e trace preserving completely positive maps By the use of the Jamio kowski isomorphism we show that the proposed channel holonomy is related to the Uhlmann holonomy The general theory is illustrated for specific examples We put forward a physical realization of the channel holonomy in terms of interferometry This enables us to identify a gauge invariant physical object that directly relates to the channel holonomy Parallel transport condition and concomitant gauge structure are delineated in the case of smoothly parametrized families of channels Finally we point out that interferometer tests that have been carried out in the past to confirm the rotation symmetry of the neutron spin can be viewed as early experimental realizations of the channel holonomy
10.1103/PhysRevB.77.075113,2008-02-13,The electronic magnetic and orbital structures of K Cr F are determined in all its recently identified crystallographic phases cubic tetragonal and monoclinic with a set of ab initio local spin density approximation LSDA and LSDA U calculations The high temperature undistorted cubic phase appears as a metal from LSDA but it is a Mott insulator with a gap of eV at the LSDA U level The tetragonal and monoclinic phases of K Cr F exhibit cooperative Jahn Teller distortions concomitant with staggered x r y r orbital order We find that the energy gains due to the Jahn Teller distortion are and meV per chromium ion in the tetragonal and monoclinic phases respectively These phases show A type magnetic ordering and have a band gap of eV In this Mott insulating state K Cr F has a substantial conduction bandwidth leading to the possibility for the kinetic energy of charge carriers in electron or hole doped derivatives of K Cr F to overcome the polaron localization at low temperatures in analogy with the situation encountered in the colossal magnetoresistive manganites
10.1103/PhysRevB.77.115115,2008-03-12,The insulator to metal transition in La Ti O induced by La substitution via Sr is studied within multiband exact diagonalization dynamical mean field theory at finite temperatures It is shown that weak hole doping triggers a large interorbital charge transfer with simultaneous electron and hole doping of t g subbands The transition is first order and exhibits phase separation between insulator and metal In the metallic phase subband compressibilities become very large and have opposite signs Electron doping gives rise to an interorbital charge flow in the same direction as hole doping These results can be understood in terms of a strong orbital depolarization
10.1103/PhysRevB.77.144508,2008-04-04,We discuss the hydrodynamic boundary condition for a superfluid moving tangentially to a rough surface Specifically we argue that the scattering of quantum fluctuations off surface roughness affects the nature of the boundary condition and that this has important consequences including a theorized critical speed and the presence of normal fluid at any nonzero speed even if the boundary is held at zero temperature i e a moving superfluid flow creates a sustained temperature difference between the superfluid and the boundary This hydrodynamic boundary condition is relevant not only for superfluid helium experiments but also for experiments with trapped dilute Bose Einstein condensates in particular those involving atomic waveguides near surfaces
10.1103/PhysRevC.77.044006,2008-04-25,The renormalization of the chiral np interaction in the S channel to next to next to next to leading order N LO in Weinberg counting for the long distance potential with one single momentum and energy independent counterterm is carried out This renormalization scheme yields finite and unique results and is free of short distance off shell ambiguities We observe good convergence in the entire elastic range below pion production threshold and find that there are some small physical effects missing in the purely pionic chiral NN potential with or without inclusion of explicit degrees of freedom We also study the renormalizability of the standard Weinberg counting at next to leading order NLO and next to next to leading order N LO when a momentum dependent polynomial counterterm is included Our numerical results suggest that the inclusion of this counterterm does not yield a convergent amplitude at NLO and N LO
10.1103/PhysRevD.78.044012,2008-08-07,We use effective field theory techniques to compute the potentials due to spin spin and spin orbit effects from which the O S S contribution to the motion of spinning compact binaries to third Post Newtonian PN order follow We use a formalism which allows us to impose the spin supplementary condition SSC in a canonical framework to all orders in the PN expansion We explicitly show the equivalence with our previous results obtained using the Newton Wigner SSC at the level of the action for spin spin and spin orbit potentials reported in arXiv gr qc and arXiv respectively
10.1103/PhysRevB.78.075321,2008-08-25,The evolution of nanostructure morphology and local chemical environment during heteroepitaxial growth of aluminum selenide on Si was investigated with scanning tunneling microscopy and high resolution photoemission spectroscopy Despite the strong similarity to GaSe in atomic and electronic structure during deposition of the first AlSe bilayer subsequent growth is quite different resulting in an alternating Al Se Al Se stacking sequence consistent with defected wurtzite structure Al Se The first bilayer is completed on a given terrace before the second layer nucleates but subsequent layers nucleate before completion of the second layer The surfaces of well formed Al x Se y islands are smooth and terminated by Se atoms Al then sticks before additional Se resulting in rougher incomplete islands with Al rich disordered surfaces Growth with extra Al in the incident flux does not result in layered AlSe and induces only subtle differences in film morphology
10.1103/PhysRevD.78.103005,2008-11-10,Keeping the exact general relativistic treatment of light bending as a reference we compare the accuracy of commonly used approximate lens equations We conclude that the best approximate lens equation is the Ohanian lens equation for which we present a new expression in terms of distances between observer lens and source planes We also examine a realistic gravitational lensing case showing that the precision of the Ohanian lens equation might be required for a reliable treatment of gravitational lensing and a correct extraction of the full information about gravitational physics
10.1103/PhysRevC.79.044602,2009-04-07,We extend our previous description of the superscaling phenomenon in inclusive electron scattering within the coherent density fluctuation model CDFM This model is a natural extension to finite nuclei of the relativistic Fermi gas RFG model within which the scaling variable was introduced In this work we propose a new modified CDFM approach to calculate the total longitudinal and transverse scaling functions built up from the hadronic tensor and the longitudinal and transverse response functions in the RFG model We test the superscaling behavior of the new CDFM scaling functions by calculating the cross sections of electron scattering in quasielastic and regions for nuclei with A at different energies and angles and comparing to available experimental data The new modified CDFM approach is extended to calculate charge changing neutrino and antineutrino scattering on C at GeV incident energy
10.1103/PhysRevE.79.041117,2009-04-10,We consider motion of an underdamped Brownian particle in a washboard potential that is subjected to an unbiased time periodic external field While in the limiting deterministic system in dependence of the strength and phase of the external field directed net motion can exist for a finite temperature the net motion averages to zero Strikingly with the application of an additional time delayed feedback term directed particle motion can be accomplished persisting up to fairly high levels of the thermal noise In detail there exist values of the feedback strength and delay time for which the feedback term performs oscillations that are phase locked to the time periodic external field This yields an effective biasing rocking force promoting periods of forward and backward motion of distinct duration and thus directed motion In terms of phase space dynamics we demonstrate that with applied feedback desymmetrization of coexisting attractors takes place leaving the ones supporting either positive or negative velocities as the only surviving ones Moreover we found parameter ranges for which in the presence of thermal noise the directed transport is enhanced compared to the noiseless case
10.1103/PhysRevD.79.073009,2009-04-16,We analyze the structure of the nonunitary leptonic mixing matrix in the inverse seesaw model with heavy singlets accessible at the LHC In this model unlike in the usual TeV seesaw scenarios the low scale right handed neutrinos do not suffer from naturalness issues Underlying correlations among various parameters governing the nonunitarity effects are established which leads to a considerable improvement of the generic nonunitarity bounds In view of this we study the discovery potential of the nonunitarity effects at future experiments focusing on the sensitivity limits at a neutrino factory
10.1103/PhysRevB.79.184526,2009-05-29,The nature and value of the order parameters OPs in the superconducting Fe based oxypnictides REFeAsO x F x RE rare earth are a matter of intense debate also connected to the pairing mechanism which is probably unconventional Point contact Andreev reflection experiments on LaFeAsO x F x gave us direct evidence of three energy scales in the superconducting state a nodeless superconducting OP meV which scales with the local T c of the contact a larger unconventional OP that gives conductance peaks at meV apparently closes below T c and decreases on increasing the T c of the contact a pseudogaplike feature i e a depression in the conductance around zero bias that survives in the normal state up to T K close to the N el temperature of the undoped compound which we associate to antiferromagnetic spin fluctuations coexisting with superconductivity These findings point toward a complex unconventional nature of superconductivity in LaFeAsO x F x
10.1103/PhysRevD.79.115017,2009-06-23,The symmetry imposed on the neutrino mass matrix in the flavor basis is known to be quite predictive We integrate this very specific neutrino symmetry into a more general framework based on the supersymmetric S O grand unified theory As in several other models the fermion mass spectrum is determined by Hermitian mass matrices resulting from the renormalizable Yukawa couplings of the plet of fermions with the Higgs fields transforming as and representations of the S O group The symmetry is spontaneously broken through the plet Consequences of this scheme are considered for fermion masses using both a type I and a type II seesaw mechanism This scenario is shown to lead to a generalized C P invariance of the mass matrices and vanishing C P violating phases if the Yukawa couplings are invariant under the symmetry Small explicit breaking of the symmetry is then shown to provide a very good understanding of all of the fermion masses and mixing Detailed fits to the fermion spectrum are presented in several scenarios One obtains a very good fit to all observables in the context of the type I seesaw mechanism but the type II seesaw model also provides a good description except for the overall scale of the neutrino masses Three major predictions on the leptonic mixing parameters in the type I seesaw case are i the atmospheric mixing angle l close to maximal ii l close to the present upper bound and iii a negative but very small Dirac C P violating phase in the neutrino oscillations
10.1103/PhysRevA.80.013608,2009-07-15,We consider a system of three identical bosons near a Feshbach resonance in the universal regime with large scattering length usually described by model independent zero range potentials We employ the adiabatic hyperspherical approximation and derive the rigorous large distance equation for the adiabatic potential for finite range interactions The effective range correction to the zero range approximation must be supplemented by a new term of the same order The nonadiabatic term can be decisive Efimov physics is always confined to the range between effective range and scattering length The analytical results agree with numerical calculations for realistic potentials
10.1103/PhysRevA.80.013415,2009-07-24,We show theoretically that a vacuum clad silica core fiber can focus a perpendicularly incident light onto one or several lines parallel to the fiber axis We demonstrate numerically that such a focusing action of the fiber can be used to trap and to guide atoms along the fiber with a red or a blue detuned incident light
10.1103/PhysRevD.80.065018,2009-09-18,We use a point matching approach to numerically compute the Casimir interaction energy for a two perfect conductor waveguide of arbitrary section We present the method and describe the procedure used to obtain the numerical results At first our technique is tested for geometries with known solutions such as concentric and eccentric cylinders Then we apply the point matching technique to compute the Casimir interaction energy for new geometries such as concentric corrugated cylinders and cylinders inside conductors with focal lines
10.1103/PhysRevD.80.125013,2009-12-11,The properties of the two flavored Gross Neveu model with nonzero current quark mass are investigated in the dimensional space time at finite isospin I as well as quark number chemical potentials and zero temperature The consideration is performed in the limit N c i e in the case with an infinite number of colored quarks In the plane of parameters I a rather rich phase structure is found which contains phases with and without pion condensation We have found a great variety of one quark excitations of these phases including gapless and gapped quasiparticles Moreover the mesonic mass spectrum in each phase is also investigated
10.1103/PhysRevB.81.073302,2010-02-17,We examine the two electron correlations in a surface acoustic wave SAW induced quantum dot moving in a pinched off channel For a small SAW amplitude and a narrow channel singlet and triplet states are quasidegenerate and both contribute to the second plateau of the quantized acoustoelectric current If SAW dots containing two electrons are driven through a small static dot whose confining potential is tuned by a gate pulse then due to the Pauli principle the current displays a fractional plateau
10.1103/PhysRevE.81.045701,2010-04-13,We derive from the continuum kinetic theory a multicomponent lattice Boltzmann model with intermolecular interaction The resulting model is found to be consistent with the model previously derived from a lattice gas cellular automaton X Shan and H Chen Phys Rev E but applies in a much broader domain A number of important insights are gained from the kinetic theory perspective First it is shown that even in the isothermal case the energy equipartition principle dictates the form of the equilibrium distribution function Second thermal diffusion is shown to exist and the corresponding diffusivities are given in terms of macroscopic parameters Third the ordinary diffusion is shown to satisfy the Maxwell Stefan equation at the ideal gas limit
10.1103/PhysRevD.81.104045,2010-05-27,Motivated by Verlinde s theory of entropic gravity we give a tentative explanation to the Coulomb s law with an entropic force When trying to do this we find the equipartition rule should be extended to charges and the concept of temperature should be reinterpreted If one accepts the holographic principle as well as our generalizations and reinterpretations then Coulomb s law the Poisson equation and the Maxwell equations can be derived smoothly Our attempt can be regarded as a new way to unify the electromagnetic force with gravity from the entropic origin Possibly some of our postulates are related to the D brane picture of black hole thermodynamics
10.1103/PhysRevB.81.235410,2010-06-07,The Si surface with an average coverage of slightly more than one monolayer of Sn exhibits a reconstruction below K In the literature atomic structure models with or Sn atoms in the unit cell have been proposed based on scanning tunneling microscopy STM results even though only four Sn atoms could be resolved in the unit cell This paper deals with two issues regarding this surface First high resolution angle resolved photoelectron spectroscopy ARPES and STM are used to test theoretically derived results from an atomic structure model comprised of Sn atoms ten in an underlayer and four in a top layer C T rnevik M Hammar N G Nilsson and S A Flodstr m Phys Rev B Low temperature ARPES reveals six occupied surface states The calculated surface band structure only reproduces some of these surface states However simulated STM images show that certain properties of the four atoms that are visible in STM are reproduced by the model The electronic structure of the Sn atoms in the underlayer of the model does not correspond to any features seen in the ARPES results STM images are presented which indicate the presence of a different underlayer consisting of eight Sn atoms which is not compatible with the model These results indicate that a revised model is called for The second issue is the reversible transition from a phase below K to a phase corresponding to a molten Sn layer above that temperature It is found that the surface band structure just below the transition temperature is quite similar to that at K The surface band structure undergoes a dramatic change at the transition A strong surface state showing a periodicity can be detected above the transition temperature This state resembles parts of two surface states which already before the transition temperature is reached have begun a transformation and lost much of their periodicities Calculated surface band structures obtained from models with one monolayer of Sn are compared with ARPES and STM results It is found that the strong surface state present above the transition temperature shows a dispersion similar to that of a calculated surface band originating from the Sn Si interface with the Sn atoms in T sites
10.1103/PhysRevE.81.066204,2010-06-09,Bred vectors are a type of finite perturbation used in prediction studies of atmospheric models that exhibit spatially extended chaos We study the structure spatial correlations and the growth rates of logarithmic bred vectors which are constructed by using a given norm We find that after a suitable transformation logarithmic bred vectors are roughly piecewise copies of the leading Lyapunov vector This fact allows us to deduce a scaling law for the bred vector growth rate as a function of its amplitude In addition we relate growth rates with the spectrum of Lyapunov exponents corresponding to the most expanding directions We illustrate our results with simulations of the Lorenz model
10.1103/PhysRevD.81.125027,2010-06-28,We consider the version of QCD in Euclidean Landau gauge in which the restriction to the Gribov region is implemented by a local renormalizable action This action depends on the Gribov parameter with dimensions of mass whose value is fixed in terms of QCD by the gap equation known as the horizon condition where is the quantum effective action The restriction to the Gribov region suppresses gluons in the infrared which nicely explains why gluons are not in the physical spectrum but this only makes more mysterious the origin of the long range force between quarks In the present article we exhibit the symmetries of and show that the solution to the gap equation which defines the classical vacuum spontaneously breaks some of the symmetries of This implies the existence of massless Goldstone bosons and fermions that do not appear in the physical spectrum Some of the Goldstone bosons may be exchanged between quarks and are candidates for a long range confining force As an exact result we also find that in the infrared limit the gluon propagator vanishes like k
10.1103/PhysRevD.82.021501,2010-07-22,We give a prescription to define in loop quantum gravity the electric field operator related to the scale factor of a homogeneous and isotropic cosmological space time This procedure allows us to link the fundamental theory with its cosmological implementation In view of the conjugate relation existing between holonomies and fluxes the edge length and the area of surfaces in the fiducial metric satisfy a duality condition As a consequence the area operator has a discrete spectrum also in loop quantum cosmology This feature makes the super Hamiltonian regularization an open issue of the whole formulation
10.1103/PhysRevB.82.113302,2010-09-03,Combining photoelectron spectroscopy and density functional theory calculations we have studied the atomic geometry of Yb Si reconstruction and the mechanisms responsible for its stabilization as well as the influence of this reconstruction on Si p core level photoemission The analysis of measured and calculated surface core level shifts supports the recently proposed model of the Yb Si It involves in agreement with valence band measurements unbuckled symmetrical silicon dimers leading to unusually narrowed Si p line shape as compared to those of related systems The origin of the symmetrical dimers in the structure is discussed in the context of previous results in literature
10.1103/PhysRevA.82.032329,2010-09-28,We study entanglement generation in a pair of qubits interacting with an initially correlated system Using time independent perturbation theory and the adiabatic theorem we show conditions under which the qubits become entangled as the joint system evolves into the ground state of the interacting theory We then apply these results to the case of qubits interacting with a scalar quantum field We study three different variations of this setup a quantum field subject to Dirichlet boundary conditions a quantum field interacting with a classical potential and a quantum field that starts in a thermal state
10.1103/PhysRevB.82.165304,2010-10-05,The interplay between the coupling of an interacting quantum dot to a conduction band and its connection to localized levels has been studied in a triple quantum dot arrangement The electronic Dicke effect resulting from quasiresonant states of two side coupled noninteracting quantum dots is found to produce important effects on the Kondo resonance of the interacting dot We study in detail the Kondo regime of the system by applying a numerical renormalization group analysis to a finite U multi impurity Anderson Hamiltonian model We find an extreme narrowing of the Kondo resonance as the single particle levels of the side dots are tuned toward the Fermi level and squeeze the Kondo resonance accompanied by a strong drop in the Kondo temperature due to the presence of a supertunneling state Further we show that the Kondo temperature vanishes in the limit of the Dicke effect of the structure By analyzing the magnetic moment and entropy of the three dot cluster versus temperature we identify a different local singlet that competes with the Kondo state resulting in the eventual suppression of the Kondo temperature and strongly affecting the spin correlations of the structure We further show that system asymmetries in couplings level structure or due to Coulomb interactions result in interesting changes in the spectral function near the Fermi level These strongly affect the Kondo temperature and the linear conductance of the system
10.1103/PhysRevA.83.013405,2011-01-19,We present an approach in momentum P space for the accurate study of multiphoton and above threshold ionization ATI dynamics of atomic systems driven by intense laser fields In this approach the electron wave function is calculated by solving the P space time dependent Schr dinger equation TDSE in a finite P space volume under a simple zero asymptotic boundary condition The P space TDSE is propagated accurately and efficiently by means of the time dependent generalized pseudospectral method with optimal momentum grid discretization and a split operator time propagator in the energy representation The differential ionization probabilities are calculated directly from the continuum state wave function obtained by projecting the total electron wave function onto the continuum state subspace using the projection operator constructed by the continuum eigenfunctions of the unperturbed Hamiltonian As a case study we apply this approach to the nonperturbative study of the multiphoton and ATI dynamics of a hydrogen atom exposed to intense short wavelength laser fields High resolution photoelectron energy angular distribution and ATI spectra have been obtained We find that with the increase of the laser intensity the photoelectron energy angular distribution changes from circular to dumbbell shaped and is squeezed along the laser field direction We also explore the change of the maximum photoelectron energy with laser intensity and strong field atomic stabilization phenomenon in detail
10.1103/PhysRevB.83.064302,2011-02-28,The transverse NMR decays of Xe in polycrystalline xenon were recently shown to have a universal property in the long time regime these decays all converge to the same sinusoidally modulated exponential function irrespective of the initial transverse spin configuration prepared by a sequence of one or more radio frequency pulses The present work constitutes a more comprehensive survey of this phenomenon It examines transverse decays for several different isotopic concentrations of Xe employs additional pulse sequences and performs similar measurements in a different material F in single crystal and polycrystalline CaF With the possible exception of polycrystalline CaF where the observation of the long time behavior is limited by the experimental resolution all these systems display the long time universal behavior characterized by particular values of the exponential decay coefficient and beat frequency that were unique for each lattice This behavior has been theoretically predicted based on the notion of microscopic chaos
10.1103/PhysRevE.83.041131,2011-04-27,For autonomous quantum systems with modular structure we demonstrate that the Jarzynski relation can be reinterpreted to apply even locally For this purpose certain contexts have to be introduced by selecting the system of interest versus its environment The respective energy exchange is then divided into heat and work based on a generalized definition of these notions In this way we are able to identify functional parts of the environment as either heat or work sources respectively We investigate different combinations of these functional parts with respect to contextual Jarzynski relations Our analytical results are confirmed by numerical investigations on small multipartite systems
10.1103/PhysRevA.83.043835,2011-04-28,An optical realization of the tunneling dynamics of two interacting bosons in a double well potential based on light transport in a four core microstructured fiber is proposed The optical setting enables one to visualize in a purely classical system the entire crossover from Rabi oscillations to correlated pair tunneling and to tunneling of a fragmented pair in the fermionization limit
